ação,timestamp,preço,btc,lucro_%,capital_atual,tempo_espera_h
compra,2024-01-01 03:40:00,42302.19,0.023639438052734385,,,
venda,2024-01-01 18:40:00,43152.11,,2.01,1020.09,15.0
compra,2024-01-02 11:40:00,45245.99,0.022545459413967513,,,
venda,2024-01-08 18:35:00,46638.08,,3.08,1051.48,150.92
compra,2024-01-09 00:35:00,46334.88,0.02269298938047039,,,
venda,2024-01-09 21:10:00,47918.36,,3.42,1087.41,20.58
compra,2024-01-10 07:50:00,45768.0,0.023759194953014273,,,
venda,2024-01-10 22:50:00,46925.0,,2.53,1114.9,15.0
compra,2024-01-11 05:35:00,46105.26,0.024181627501291495,,,
venda,2024-01-11 11:20:00,47127.99,,2.22,1139.63,5.75
compra,2024-01-11 16:05:00,46298.53,0.024614852762379076,,,
venda,2024-02-09 11:50:00,47277.29,,2.11,1163.72,691.75
compra,2024-02-10 07:55:00,47151.72,0.024680404709611792,,,
venda,2024-02-11 03:30:00,48181.09,,2.18,1189.13,19.58
compra,2024-02-11 14:10:00,47975.99,0.024785914799261663,,,
venda,2024-02-12 15:05:00,48972.0,,2.08,1213.82,24.92
compra,2024-02-13 11:10:00,49716.68,0.024414659618249696,,,
venda,2024-02-14 08:55:00,50758.0,,2.09,1239.24,21.75
compra,2024-02-15 05:50:00,51865.11,0.02389350553586251,,,
venda,2024-02-26 16:05:00,53423.29,,3.0,1276.47,274.25
compra,2024-02-29 16:40:00,61855.88,0.020636189726166508,,,
venda,2024-03-03 22:20:00,63165.98,,2.12,1303.51,77.67
compra,2024-03-05 05:00:00,66310.0,0.01965774615471632,,,
venda,2024-03-05 13:05:00,67661.58,,2.04,1330.07,8.08
compra,2024-03-05 16:05:00,65852.83,0.020197676608082457,,,
venda,2024-03-06 08:10:00,67301.3,,2.2,1359.33,16.08
compra,2024-03-06 12:45:00,65460.0,0.020765809543286586,,,
venda,2024-03-06 14:00:00,66841.05,,2.11,1388.01,1.25
compra,2024-03-10 14:40:00,68888.69,0.02014856885757729,,,
venda,2024-03-11 07:10:00,70447.12,,2.26,1419.41,16.5
compra,2024-03-12 03:20:00,71751.25,0.01978235428843414,,,
venda,2024-03-13 08:10:00,73190.02,,2.01,1447.87,28.83
compra,2024-03-13 12:35:00,72504.02,0.01996952591066786,,,
venda,2024-11-06 03:05:00,74238.0,,2.39,1482.5,5702.5
compra,2024-11-06 08:00:00,72917.99,0.020331027563378536,,,
venda,2024-11-06 11:30:00,74421.42,,2.06,1513.06,3.5
compra,2024-11-07 00:30:00,75142.52,0.020135922262465654,,,
venda,2024-11-07 20:15:00,76727.27,,2.11,1544.97,19.75
compra,2024-11-07 22:10:00,75674.0,0.020416184477247315,,,
venda,2024-11-10 02:20:00,77224.47,,2.05,1576.63,52.17
compra,2024-11-10 20:05:00,79469.6,0.019839398029908934,,,
venda,2024-11-10 22:20:00,81263.77,,2.26,1612.22,2.25
compra,2024-11-11 05:35:00,80726.99,0.019971316636988107,,,
venda,2024-11-11 14:35:00,82379.99,,2.05,1645.24,9.0
compra,2024-11-12 02:50:00,86950.0,0.01892164306891218,,,
venda,2024-11-12 04:30:00,88698.0,,2.01,1678.31,1.67
compra,2024-11-12 09:45:00,87681.6,0.019140981653235942,,,
venda,2024-11-12 19:25:00,89448.01,,2.01,1712.12,9.67
compra,2024-11-12 22:05:00,87780.0,0.019504701735343643,,,
venda,2024-11-13 13:45:00,89678.9,,2.16,1749.16,15.67
compra,2024-11-13 19:15:00,90259.99,0.0193791312901066,,,
venda,2024-11-18 09:20:00,92075.99,,2.01,1784.35,110.08
compra,2024-11-18 11:10:00,91134.72,0.019579285467454584,,,
venda,2024-11-19 17:30:00,93068.0,,2.12,1822.2,30.33
compra,2024-11-21 14:35:00,96600.01,0.018863403222060364,,,
venda,2024-11-21 19:10:00,98789.52,,2.27,1863.51,4.58
compra,2024-11-22 10:30:00,98289.34,0.018959396307613795,,,
venda,2024-12-05 02:40:00,101312.02,,3.08,1920.81,304.17
compra,2024-12-05 15:35:00,101625.99,0.018900821904956545,,,
venda,2024-12-15 23:15:00,103995.99,,2.33,1965.61,247.67
compra,2024-12-16 11:40:00,104103.44,0.01888131348800426,,,
venda,2024-12-16 15:15:00,106296.0,,2.11,2007.01,3.58
compra,2024-12-17 12:10:00,106583.38,0.0188304039384086,,,
venda,2025-01-20 07:10:00,108975.42,,2.24,2052.05,811.0
compra,2025-01-20 12:15:00,106060.2,0.019347985181601877,,,
