ação,timestamp,preço,btc,lucro_%,capital_atual,tempo_espera_h,alvo_atingido
compra,2024-01-09 00:35:00,46334.88,0.021582013377395175,,,,
venda,2024-01-09 21:10:00,47918.36,,3.42,1034.17,20.58,2%
compra,2024-01-29 12:40:00,42036.83,0.024601633532852926,,,,
venda,2024-01-29 16:20:00,42992.57,,2.27,1057.69,3.67,2%
compra,2024-03-06 12:45:00,65460.0,0.01615776736595672,,,,
venda,2024-03-06 14:00:00,66841.05,,2.11,1080.0,1.25,2%
compra,2024-04-14 09:35:00,63916.0,0.016897210970590798,,,,
venda,2024-04-14 22:05:00,65200.0,,2.01,1101.7,12.5,2%
compra,2024-04-16 10:15:00,62638.12,0.01758830174472861,,,,
venda,2024-04-16 21:40:00,63975.79,,2.14,1125.23,11.42,2%
compra,2024-05-05 00:40:00,63468.01,0.017729018112863332,,,,
venda,2024-05-06 08:15:00,64968.01,,2.36,1151.82,31.58,2%
compra,2024-06-23 10:05:00,64316.63,0.017908572418155088,,,,
venda,2024-07-17 01:05:00,65742.02,,2.22,1177.35,567.0,2%
compra,2024-08-04 14:10:00,60495.5,0.019461707500323167,,,,
venda,2024-08-08 22:50:00,61947.02,,2.4,1205.59,104.67,2%
compra,2024-08-28 13:55:00,59334.0,0.020318784908428037,,,,
venda,2024-08-29 13:55:00,60626.01,,2.18,1231.85,24.0,2%
compra,2024-10-16 13:35:00,67267.99,0.018312526612527105,,,,
venda,2024-10-18 15:25:00,68659.22,,2.07,1257.32,49.83,2%
compra,2024-10-25 15:50:00,67462.2,0.018637456137590432,,,,
venda,2024-10-28 12:20:00,68864.93,,2.08,1283.47,68.5,2%
compra,2024-11-26 18:15:00,92555.56,0.013866990943528789,,,,
venda,2024-11-27 14:25:00,94509.83,,2.11,1310.57,20.17,2%
compra,2024-12-03 06:55:00,95632.22,0.013704240649066241,,,,
venda,2024-12-04 20:05:00,97704.69,,2.17,1338.97,37.17,2%
compra,2025-01-09 02:05:00,93911.36,0.014257791435481457,,,,
venda,2025-01-10 17:55:00,95793.05,,2.0,1365.8,39.83,2%
compra,2025-01-20 12:15:00,106060.2,0.012877566965446483,,,,
