ação,timestamp,preço,btc,score_entrada,lucro_%,capital_atual,tempo_espera_h,alvo_atingido
compra,2024-01-01 01:35:00,42717.52,0.023409598684567833,2.0,,,,
venda,2024-01-01 18:00:00,42950.24,,,0.54,1005.45,16.42,0%
compra,2024-01-01 18:05:00,43009.94,0.023377104962384803,3.0,,,,
venda,2024-01-01 19:25:00,43262.01,,,0.59,1011.34,1.33,0%
compra,2024-01-01 19:30:00,43368.0,0.023319972068201,3.0,,,,
venda,2024-01-01 20:00:00,43686.63,,,0.73,1018.77,0.5,0%
compra,2024-01-01 20:05:00,43692.54,0.02331681773029977,3.0,,,,
venda,2024-01-01 23:25:00,43989.99,,,0.68,1025.71,3.33,0%
compra,2024-01-01 23:30:00,44012.95,0.02330465417082267,3.0,,,,
venda,2024-01-02 00:00:00,44264.63,,,0.57,1031.57,0.5,0%
compra,2024-01-02 00:05:00,44398.44,0.023234417563982476,3.0,,,,
venda,2024-01-02 00:10:00,44630.09,,,0.52,1036.95,0.08,0%
compra,2024-01-02 00:15:00,44555.89,0.023273110400849777,2.0,,,,
venda,2024-01-02 00:50:00,44835.99,,,0.63,1043.47,0.58,0%
compra,2024-01-02 00:55:00,45056.0,0.023159467001096334,3.0,,,,
venda,2024-01-02 02:40:00,45294.75,,,0.53,1049.0,1.75,0%
compra,2024-01-02 02:50:00,45253.11,0.023180777364205648,2.0,,,,
venda,2024-01-02 07:40:00,45526.42,,,0.6,1055.34,4.83,0%
compra,2024-01-02 07:45:00,45524.57,0.02318171937064577,2.0,,,,
venda,2024-01-02 08:20:00,45799.99,,,0.6,1061.72,0.58,0%
compra,2024-01-02 08:30:00,45700.25,0.023232313069586764,2.0,,,,
venda,2024-01-08 18:00:00,45962.21,,,0.57,1067.81,153.5,0%
compra,2024-01-08 18:05:00,45848.82,0.023289769553286026,2.0,,,,
venda,2024-01-08 18:30:00,46131.11,,,0.62,1074.38,0.42,0%
compra,2024-01-08 18:35:00,46638.08,0.023036602731872507,3.0,,,,
venda,2024-01-08 18:40:00,46917.77,,,0.6,1080.83,0.08,0%
compra,2024-01-08 18:45:00,46879.4,0.023055457803541977,2.0,,,,
venda,2024-01-08 21:35:00,47124.0,,,0.52,1086.47,2.83,0%
compra,2024-01-08 21:40:00,47178.97,0.023028595018799947,2.0,,,,
venda,2024-01-09 21:10:00,47918.36,,,1.57,1103.49,23.5,0%
compra,2024-01-09 21:15:00,46522.02,0.02371978917521343,2.0,,,,
venda,2024-01-10 22:50:00,46925.0,,,0.87,1113.05,25.58,0%
compra,2024-01-10 23:00:00,46995.05,0.0236844328721193,3.0,,,,
venda,2024-01-10 23:05:00,47339.52,,,0.73,1121.21,0.08,0%
compra,2024-01-10 23:10:00,47482.0,0.023613362614008444,3.0,,,,
venda,2024-01-11 14:10:00,47794.59,,,0.66,1128.59,15.0,0%
compra,2024-01-11 14:15:00,47684.0,0.023668127352106823,2.0,,,,
venda,2024-01-11 14:35:00,48084.87,,,0.84,1138.08,0.33,0%
compra,2024-01-11 14:40:00,48524.1,0.02345388841564297,3.0,,,,
venda,2024-01-11 14:45:00,48883.99,,,0.74,1146.52,0.08,0%
compra,2024-01-11 14:50:00,48652.18,0.023565637691289616,2.0,,,,
venda,2024-02-12 15:05:00,48972.0,,,0.66,1154.06,768.25,0%
compra,2024-02-12 15:10:00,49094.69,0.02350674602523888,3.0,,,,
venda,2024-02-12 15:30:00,49391.73,,,0.61,1161.04,0.33,0%
compra,2024-02-12 15:35:00,49500.51,0.02345508870226129,3.0,,,,
venda,2024-02-12 15:45:00,49753.75,,,0.51,1166.98,0.17,0%
compra,2024-02-12 15:50:00,49855.01,0.02340744931191735,3.0,,,,
venda,2024-02-12 17:30:00,50234.0,,,0.76,1175.85,1.67,0%
compra,2024-02-12 17:35:00,49986.73,0.023523239242392052,2.0,,,,
venda,2024-02-12 21:10:00,50262.95,,,0.55,1182.35,3.58,0%
compra,2024-02-12 21:20:00,50194.45,0.02355534123550292,2.0,,,,
venda,2024-02-14 08:55:00,50758.0,,,1.12,1195.62,35.58,0%
compra,2024-02-14 09:00:00,50785.07,0.023542785516130177,3.0,,,,
venda,2024-02-14 09:15:00,51195.0,,,0.81,1205.27,0.25,0%
compra,2024-02-14 09:20:00,51245.99,0.02351936033430683,3.0,,,,
venda,2024-02-14 09:45:00,51635.39,,,0.76,1214.43,0.42,0%
compra,2024-02-14 10:05:00,51521.99,0.023571126492056373,2.0,,,,
venda,2024-02-14 13:55:00,51786.01,,,0.51,1220.65,3.83,0%
compra,2024-02-14 14:00:00,51665.22,0.023626234287377392,2.0,,,,
venda,2024-02-14 15:30:00,51924.33,,,0.5,1226.78,1.5,0%
compra,2024-02-14 15:45:00,51827.99,0.02367015170364698,2.0,,,,
venda,2024-02-15 00:20:00,52323.79,,,0.96,1238.51,8.58,0%
compra,2024-02-15 00:25:00,52269.19,0.0236948773648447,2.0,,,,
venda,2024-02-15 14:30:00,52763.99,,,0.95,1250.24,14.08,0%
compra,2024-02-15 14:35:00,52546.37,0.023793009342603342,2.0,,,,
venda,2024-02-20 13:35:00,52899.99,,,0.67,1258.65,119.0,0%
compra,2024-02-20 13:40:00,52874.67,0.023804403059037974,2.0,,,,
venda,2024-02-26 16:05:00,53423.29,,,1.04,1271.71,146.42,0%
compra,2024-02-26 16:10:00,53509.44,0.023766078058373864,3.0,,,,
venda,2024-02-26 19:10:00,53821.06,,,0.58,1279.12,3.0,0%
compra,2024-02-26 19:15:00,54096.0,0.023645288249490224,3.0,,,,
venda,2024-02-26 19:20:00,54382.2,,,0.53,1285.88,0.08,0%
compra,2024-02-26 19:25:00,54234.1,0.02370985772127549,2.0,,,,
venda,2024-02-26 20:00:00,54593.39,,,0.66,1294.4,0.58,0%
compra,2024-02-26 20:05:00,54891.1,0.023581263800909514,3.0,,,,
venda,2024-02-27 01:45:00,55390.74,,,0.91,1306.18,5.67,0%
compra,2024-02-27 01:50:00,55625.33,0.023481813987756846,3.0,,,,
venda,2024-02-27 02:05:00,56566.57,,,1.69,1328.29,0.25,0%
